dm_id,msr_id,logical_delete
3,1,
80,1,
27,1,
45,1,
46,1,
28,1,
51,1,
3,3,
8,3,
7,3,
49,5,
3,5,
38,7,
8,7,
7,7,
27,8,
51,8,
33,8,
51,9,
33,9,
44,9,
45,9,
46,9,
41,9,
42,9,
43,9,
28,9,
30,9,
57,9,
51,10,
27,10,
28,10,
57,10,
44,10,
45,10,
46,10,
41,10,
42,10,
43,10,
30,10,
51,11,
27,11,
28,11,
57,11,
44,11,
45,11,
46,11,
41,11,
42,11,
43,11,
30,11,
51,12,
27,12,
41,13,
27,13,
3,14,
44,14,
45,14,
68,14,
51,19,
44,19,
45,19,
56,19,
3,19,
51,20,
44,20,
45,20,
56,20,
3,20,
51,21,
46,21,
59,21,
46,22,
59,22,
51,23,
46,23,
59,23,
56,23,
51,25,
46,25,
56,25,
45,25,
51,26,
46,26,
56,26,
45,26,
51,27,
46,27,
56,27,
45,27,
59,27,
27,28,
51,28,
46,28,
51,29,
56,29,
44,29,
46,29,
3,29,
51,30,
56,30,
44,30,
46,30,
3,30,
51,31,
56,31,
44,31,
46,31,
3,31,
51,33,
28,33,
45,33,
51,34,
28,34,
45,34,
41,34,
42,34,
43,34,
51,35,
28,35,
45,35,
56,35,
41,35,
42,35,
43,35,
51,37,
28,37,
45,37,
56,37,
51,38,
28,38,
45,38,
41,38,
42,38,
43,38,
51,39,
28,39,
45,39,
56,39,
51,40,
28,40,
57,40,
45,40,
51,41,
45,41,
3,41,
41,41,
42,41,
43,41,
51,42,
45,42,
3,42,
41,42,
42,42,
43,42,
51,43,
45,43,
3,43,
56,43,
41,43,
42,43,
43,43,
3,44,
68,44,
56,44,
80,45,
28,45,
57,45,
19,45,
90,45,
80,46,
28,46,
57,46,
81,46,
19,46,
90,46,
80,47,
28,47,
81,47,
19,47,
45,48,
28,48,
69,48,
40,49,
34,49,
60,49,
45,50,
41,50,
42,50,
34,50,
45,51,
41,51,
42,51,
34,51,
56,51,
51,51,
45,52,
41,52,
42,52,
34,52,
56,52,
51,52,
45,53,
41,53,
34,53,
60,53,
51,53,
3,55,
44,55,
45,55,
68,55,
51,58,
3,58,
44,58,
45,58,
51,59,
3,59,
44,59,
45,59,
56,59,
51,60,
3,60,
44,60,
45,60,
56,60,
51,61,
3,61,
44,61,
45,61,
56,61,
51,62,
3,62,
44,62,
46,62,
56,62,
51,63,
3,63,
44,63,
46,63,
56,63,
51,64,
3,64,
44,64,
46,64,
56,64,
3,66,
8,66,
45,66,
51,66,
40,66,
41,66,
42,66,
43,66,
3,67,
8,67,
45,67,
51,67,
40,67,
41,67,
42,67,
43,67,
3,68,
8,68,
45,68,
51,68,
40,68,
41,68,
42,68,
