msr_id,msr_section,msr_table,msr_name,msr_data_url,msr_population_or_survey,msr_survey size,msr_min_geo_resolution,src_org,src_name,src_url,src_year_first_published,src_year_last_published,src_discontinuity,src_pub_frequency,src_pub_lag_months,src_data_provider,src_statistic_class,src_methodology_url,src_quality_url,msr_strength
1,Summary figures regarding Adult Social Care activity and finance,T1,"Summary figures regarding Adult Social Care activity and finance, 2018-19",https://files.digital.nhs.uk/C4/9FBB8A/ASCFR%20and%20SALT%20Reference%20Tables%202018-19.xlsx,Population,N/A,LA,NHS Digital,Adult Social Care Activity and Finance Report,https://digital.nhs.uk/data-and-information/publications/statistical/adult-social-care-activity-and-finance-report/2018-19,2016,2019,None,Annual,7,LA,National (ASC-FR) + Official (SALT),https://digital.nhs.uk/data-and-information/publications/statistical/adult-social-care-activity-and-finance-report/2018-19/data-quality-statement,https://digital.nhs.uk/data-and-information/publications/statistical/adult-social-care-activity-and-finance-report/2018-19/data-quality-statement#accuracy-and-reliability,0.82
2,Summary figures regarding Adult Social Care activity and finance,T2,"Summary figures regarding Adult Social Care activity, year on year comparison, 2016-17, 2017-18 and 2018-19",https://files.digital.nhs.uk/C4/9FBB8A/ASCFR%20and%20SALT%20Reference%20Tables%202018-19.xlsx,Population,N/A,LA,NHS Digital,Adult Social Care Activity and Finance Report,https://digital.nhs.uk/data-and-information/publications/statistical/adult-social-care-activity-and-finance-report/2018-19,2016,2019,None,Annual,7,LA,National (ASC-FR) + Official (SALT),https://digital.nhs.uk/data-and-information/publications/statistical/adult-social-care-activity-and-finance-report/2018-19/data-quality-statement,https://digital.nhs.uk/data-and-information/publications/statistical/adult-social-care-activity-and-finance-report/2018-19/data-quality-statement#accuracy-and-reliability,0.82
3,Summary figures regarding Adult Social Care activity and finance,T3,"Expenditure and income, by finance type and finance description, 2018-19",https://files.digital.nhs.uk/C4/9FBB8A/ASCFR%20and%20SALT%20Reference%20Tables%202018-19.xlsx,Population,N/A,LA,NHS Digital,Adult Social Care Activity and Finance Report,https://digital.nhs.uk/data-and-information/publications/statistical/adult-social-care-activity-and-finance-report/2018-19,2016,2019,None,Annual,7,LA,National (ASC-FR) + Official (SALT),https://digital.nhs.uk/data-and-information/publications/statistical/adult-social-care-activity-and-finance-report/2018-19/data-quality-statement,https://digital.nhs.uk/data-and-information/publications/statistical/adult-social-care-activity-and-finance-report/2018-19/data-quality-statement#accuracy-and-reliability,0.82
4,Summary figures regarding Adult Social Care activity and finance,T4,"Gross Current Expenditure in cash and real terms, year on year comparison, 2005-06 to 2018-19",https://files.digital.nhs.uk/C4/9FBB8A/ASCFR%20and%20SALT%20Reference%20Tables%202018-19.xlsx,Population,N/A,England,NHS Digital,Adult Social Care Activity and Finance Report,https://digital.nhs.uk/data-and-information/publications/statistical/adult-social-care-activity-and-finance-report/2018-19,2016,2019,None,Annual,7,LA,National (ASC-FR) + Official (SALT),https://digital.nhs.uk/data-and-information/publications/statistical/adult-social-care-activity-and-finance-report/2018-19/data-quality-statement,https://digital.nhs.uk/data-and-information/publications/statistical/adult-social-care-activity-and-finance-report/2018-19/data-quality-statement#accuracy-and-reliability,0.67
5,Summary figures regarding Adult Social Care activity and finance,T5,"Expenditure, by finance description, year on year comparison, 2017-18 and 2018-19",https://files.digital.nhs.uk/C4/9FBB8A/ASCFR%20and%20SALT%20Reference%20Tables%202018-19.xlsx,Population,N/A,LA,NHS Digital,Adult Social Care Activity and Finance Report,https://digital.nhs.uk/data-and-information/publications/statistical/adult-social-care-activity-and-finance-report/2018-19,2016,2019,None,Annual,7,LA,National (ASC-FR) + Official (SALT),https://digital.nhs.uk/data-and-information/publications/statistical/adult-social-care-activity-and-finance-report/2018-19/data-quality-statement,https://digital.nhs.uk/data-and-information/publications/statistical/adult-social-care-activity-and-finance-report/2018-19/data-quality-statement#accuracy-and-reliability,0.82
6,Summary figures regarding Adult Social Care activity and finance,T6,"Income, by finance description, year on year comparison, 2017-18 and 2018-19",https://files.digital.nhs.uk/C4/9FBB8A/ASCFR%20and%20SALT%20Reference%20Tables%202018-19.xlsx,Population,N/A,LA,NHS Digital,Adult Social Care Activity and Finance Report,https://digital.nhs.uk/data-and-information/publications/statistical/adult-social-care-activity-and-finance-report/2018-19,2016,2019,None,Annual,7,LA,National (ASC-FR) + Official (SALT),https://digital.nhs.uk/data-and-information/publications/statistical/adult-social-care-activity-and-finance-report/2018-19/data-quality-statement,https://digital.nhs.uk/data-and-information/publications/statistical/adult-social-care-activity-and-finance-report/2018-19/data-quality-statement#accuracy-and-reliability,0.82
7,Summary figures regarding Adult Social Care activity and finance,T7,"Income, by finance description, care type and age band, 2018-19",https://files.digital.nhs.uk/C4/9FBB8A/ASCFR%20and%20SALT%20Reference%20Tables%202018-19.xlsx,Population,N/A,LA,NHS Digital,Adult Social Care Activity and Finance Report,https://digital.nhs.uk/data-and-information/publications/statistical/adult-social-care-activity-and-finance-report/2018-19,2016,2019,None,Annual,7,LA,National (ASC-FR) + Official (SALT),https://digital.nhs.uk/data-and-information/publications/statistical/adult-social-care-activity-and-finance-report/2018-19/data-quality-statement,https://digital.nhs.uk/data-and-information/publications/statistical/adult-social-care-activity-and-finance-report/2018-19/data-quality-statement#accuracy-and-reliability,0.82
8,Requests for support,T8,"Number of requests for support received from new clients, by age band and route of access, 2018-19",https://files.digital.nhs.uk/C4/9FBB8A/ASCFR%20and%20SALT%20Reference%20Tables%202018-19.xlsx,Population,N/A,LA,NHS Digital,Adult Social Care Activity and Finance Report,https://digital.nhs.uk/data-and-information/publications/statistical/adult-social-care-activity-and-finance-report/2018-19,2016,2019,None,Annual,7,LA,National (ASC-FR) + Official (SALT),https://digital.nhs.uk/data-and-information/publications/statistical/adult-social-care-activity-and-finance-report/2018-19/data-quality-statement,https://digital.nhs.uk/data-and-information/publications/statistical/adult-social-care-activity-and-finance-report/2018-19/data-quality-statement#accuracy-and-reliability,0.82
9,Requests for support,T9,"Number of requests for support received from new clients, by route of access, age band and what happened next, 2018-19",https://files.digital.nhs.uk/C4/9FBB8A/ASCFR%20and%20SALT%20Reference%20Tables%202018-19.xlsx,Population,N/A,England,NHS Digital,Adult Social Care Activity and Finance Report,https://digital.nhs.uk/data-and-information/publications/statistical/adult-social-care-activity-and-finance-report/2018-19,2016,2019,None,Annual,7,LA,National (ASC-FR) + Official (SALT),https://digital.nhs.uk/data-and-information/publications/statistical/adult-social-care-activity-and-finance-report/2018-19/data-quality-statement,https://digital.nhs.uk/data-and-information/publications/statistical/adult-social-care-activity-and-finance-report/2018-19/data-quality-statement#accuracy-and-reliability,0.67
10,Requests for support,T10,"Number of requests for support received from new clients aged 18 to 64, by what happened next, 2018-19",https://files.digital.nhs.uk/C4/9FBB8A/ASCFR%20and%20SALT%20Reference%20Tables%202018-19.xlsx,Population,N/A,LA,NHS Digital,Adult Social Care Activity and Finance Report,https://digital.nhs.uk/data-and-information/publications/statistical/adult-social-care-activity-and-finance-report/2018-19,2016,2019,None,Annual,7,LA,National (ASC-FR) + Official (SALT),https://digital.nhs.uk/data-and-information/publications/statistical/adult-social-care-activity-and-finance-report/2018-19/data-quality-statement,https://digital.nhs.uk/data-and-information/publications/statistical/adult-social-care-activity-and-finance-report/2018-19/data-quality-statement#accuracy-and-reliability,0.82
